,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
524,524,butternut squash raw,90,0.2,0.044,0.046,0.019,23.4,4.4,2,4,0,0.067,172.8,0,0,0.2,0.016,0,0.048,2.4,0.8,0.3,42,0,2.9,0.075,96,0.1,1.4,68,0.4,66,704,0.024,30.078
525,525,amaranth leaves,6,0.075,0.072,0.033,0.025,1.1,0,0.7,0,0,0.071,25.7,0,0.046,0.029,0,0.042,0.2,0.039,0.009,12.1,0,0,0.3,60.2,0.052,0.6,15.4,0.2,14,171.1,0.058,0.3,74.73
526,526,turnip greens raw,18,0.2,0.009,0.04,0.066,3.9,0.4,0.8,1.8,0,0.012,49.3,0,0.015,0.1,0,0.015,0.3,0.2,0.1,33,0,1.6,0.1,104.5,0.2,0.6,17.1,0.3,23.1,162.8,0.026,0.1,144.8
527,527,spaghetti squash raw,31,0.6,0.1,0.026,0.2,7,2.8,0.6,1.5,0,0.081,92.5,0,0.06,0.022,0,0.061,1,0.4,0.1,2.1,0,0.1,0.076,23.2,0.077,0.3,12.1,0.1,12.1,109.1,0.091,0.2,35.3
528,528,seaweed dry,52,0.3,0.006,0.076,0.2,9.2,0,3.1,7.3,6.6,0.9,2.8,0,0.014,0.01,0.043,0.3,0.8,0,0.003,5.8,0.011,1.1,0,59.8,0.021,13.3,138.4,1.2,52,588.8,0,0.5,98.8
529,529,yam cooked,158,0.2,0.061,0.018,0.059,37.4,0.7,2,5.3,0,0.017,95.4,0,0,0.1,0.035,0,0.088,0.8,0.4,0.3,16.5,0,0.5,0.083,19,0.2,0.7,24.5,0.5,66.6,911.2,0.006,45.477
530,530,corn dried,119,3,0.6,1.1,1.3,18.8,6,4.1,5.8,0,0.029,1.8,0,0.095,0.048,0,0.011,2.3,0.4,0.3,0,0,0.1,0,7.1,0.014,0.7,42.2,0.3,97.4,219.3,0.053,0.9,39.5
531,531,cucumber,23,0.2,0.068,0.044,0.041,5.4,2.5,1,0.8,0,0.061,142.8,0,0.064,0.08,0,0.066,0.1,0.4,0.046,4.2,0,0.049,0.038,24,0.065,0.4,19.5,0.1,36,220.5,0.082,0.3,36
532,532,arrowroot,78,0.2,0.094,0.083,0.1,16.1,0,5.1,1.6,0,0.052,96.9,0,0.2,0.4,0,0.06,2,0.4,0.3,2.3,0,0,0,7.2,0.1,2.7,30,0.2,117.6,544.8,0.061,0.8,35.2
533,533,cardoon raw,30,0.2,0.072,0.05,0.054,7.2,0,1.2,2.8,0,0.3,167.3,0,0,0.064,0.1,0,0.098,0.5,0.6,0.2,3.6,0,0,0,124.6,0.4,1.2,74.8,0.5,40.9,712,0.058,12
534,534,bamboo shoots cooked,14,0.3,0.007,0.059,0.1,2.3,0,1.8,1.2,0,0.04,115.1,0,0,0.067,0.071,0,0.051,0.4,0.068,0.1,0,0,0,0,14.4,0.083,0.3,3.6,0.1,24,639.6,0.046,5.76
535,535,summer squash raw,42,0.5,0.1,0.048,0.2,8.7,5.7,3.1,2.9,0,0.051,246.1,0,0,0.1,0.019,0,0.4,1.3,0.4,0.6,44.2,0,0.3,0.009,39,0.1,0.9,44.2,0.5,98.8,681.2,0.096,15.958
536,536,sweet potato raw,112,0.002,0.036,0.008,0.015,26.2,5.4,2,3.9,0,0.079,100.5,0,0,0.1,0.049,0,0.081,0.7,1,0.3,3.1,0,0.3,0.048,39,0.2,0.8,32.5,0.3,61.1,438.1,0.044,32.696
537,537,green tomato,42,0.4,0.024,0.018,0.1,9.3,7.3,2.2,2,0,0.055,169.3,0,0.1,0.027,0,0.017,0.9,0.9,0.1,42.6,0,0.7,0.003,23.7,0.2,0.9,18.2,0.2,51,371.3,0.051,0.1,81.1
538,538,beet greens raw,8,0.078,0.026,0.037,0.015,1.6,0.2,0.8,1.4,0,0.013,34.6,0,0.008,0.064,0,0.068,0.2,0.027,0.087,11.4,0,0.6,0.2,44.5,0.092,1,26.6,0.1,15.6,289.6,0.039,0.1,60.771
539,539,savoy cabbage cooked,41,0.2,0.076,0.023,0.003,9.2,0,3.1,4.8,0,0.05,156.4,0,0,0.076,0.039,0,0.066,0.012,0.3,0.3,28.9,0,0,0,51,0.089,0.6,40.8,0.3,56.1,312.8,0.077,17.612
540,540,witloof chicory,9,0.031,0.076,0.077,0.027,2.1,0,0.5,1.6,0,0.022,50.1,0,0.029,0.016,0,0.068,0.015,0.053,0.096,1.5,0,0,0,10.1,0.083,0.1,5.3,0.063,13.8,111.8,0.035,0.079,15.994
541,541,turnips cooked,34,0.1,0.082,0.089,0.076,7.9,4.7,1.1,3.1,0,0.017,146,0,0,0.001,0.096,0,0.011,0.5,0.2,0.1,18.1,0,0.082,0.063,34.3,0.025,0.3,12.5,0.2,29.6,210.6,0.017,12.408
542,542,dried tomatoes,5,0.053,0.032,0.032,0.086,1.1,0.8,0.3,0.2,0,0.069,0.3,0,0.013,0.022,0,0.056,0.2,0.072,0.034,0.8,0,0.079,0.09,2.2,0.082,0.2,3.9,0.065,7.1,68.5,0.061,0.085,4.838
